pid,name,price,unit,price_text,img_path,category_root,needs_review
4517263,Picanha de Bovino América do Sul Inteira Continente,19.99,kg,"19,99€/kg",dwc233a8e6/images/col/451/4517263-frente.jpg,Talho,true
8718657,Carne Picada Angus Ultracongelada Prime Meat,14.99,pack,"14,99€",dw6fc2689e/images/col/871/8718657-frente.jpg,Talho,true
8015811,Secretos de Porco Selecta,16.99,kg,"16,99€/kg",dw8fa78d63/images/col/801/8015811-frente.jpg,Talho,true
8623351,Hambúrguer de Novilho Smash Chakall Prime Meat,10.29,pack,"10,29€",dw805cdf6f/images/col/862/8623351-frente.jpg,Talho,true
7311928,Carpaccio de Bovino Angus,6.29,pack,"6,29€",dw422c8715/images/col/731/7311928-frente.jpg,Talho,true
7325792,Hambúrguer 100% Carne de Bovino Angus Congelado Chakall Prime Meat,9.89,pack,"9,89€",dw38e347c5/images/col/732/7325792-frente.jpg,Talho,true
7071900,Escalopes de Peru Extrafinos Continente,9.69,kg,"9,69€/kg",dw9b20decf/images/col/707/7071900-frente.jpg,Talho,true
6885814,Lombo de Bovino América do Sul Congelado Continente,24.99,kg,"24,99€/kg",dwaf83d863/images/col/688/6885814-frente.jpg,Talho,true
7211005,Plumas Porco Preto Congeladas Miguel & Miguel,12.99,kg,"12,99€/kg",dwdb09e889/images/col/721/7211005-frente.jpg,Talho,true
2964421,Strogonoff de Frango do Campo Campoaves,9.49,kg,"9,49€/kg",dwaadf1899/images/col/296/2964421-frente.jpg,Talho,true
6950358,Peito de Frango em Vácuo Continente,5.99,kg,"5,99€/kg",dwd43d2a97/images/col/695/6950358-frente.jpg,Talho,true
7430620,Preparado de Carne Picada de Bovino Continente,11.49,pack,"11,49€",dw4583d027/images/col/743/7430620-frente.jpg,Talho,true
7068833,Bifes de Frango Continente,6.99,kg,"6,99€/kg",dw6786e05e/images/col/706/7068833-frente.jpg,Talho,true
7069674,Peito de Frango Continente,6.49,kg,"6,49€/kg",dwfcfa7bdd/images/col/706/7069674-frente.jpg,Talho,true
4460224,Bifes de Peru Continente,8.99,kg,"8,99€/kg",dw2be2529f/images/col/446/4460224-frente.jpg,Talho,true
7069729,Peito de Frango Continente,6.59,kg,"6,59€/kg",dw8bddcf1f/images/col/706/7069729-frente.jpg,Talho,true
7993967,Preparado de Carne Picada Mista Continente,8.99,pack,"8,99€",dw0b2f3514/images/col/799/7993967-frente.jpg,Talho,true
7082480,Hambúrguer 100% Carne de Novilho Angus Continente Seleção,4.89,pack,"4,89€",dw66c334be/images/col/708/7082480-frente.jpg,Talho,true
2588815,Lombinhos de Porco Continente,6.99,kg,"6,99€/kg",dwd61350b0/images/col/258/2588815-frente.jpg,Talho,true
7069726,Bifes de Frango Extrafino Continente,8.99,kg,"8,99€/kg",dw70244890/images/col/706/7069726-frente.jpg,Talho,true
6245680,Hambúrguer de Bovino com Picanha Continente,7.29,pack,"7,29€",dw351fcb97/images/col/624/6245680-frente.jpg,Talho,true
7723930,Preparado de Carne Picada de Bovino Angus Continente Seleção,4.99,pack,"4,99€",dwbcde0abd/images/col/772/7723930-frente.jpg,Talho,true
7069743,Coxas de Frango Continente,4.39,kg,"4,39€/kg",dwafdfe56b/images/col/706/7069743-frente.jpg,Talho,true
7530498,Jardineira de Novilho Balcão Angus,12.99,kg,"12,99€/kg",dwdea5bad1/images/col/753/7530498-frente.jpg,Talho,true
7069746,Lombinhos de Frango Continente,6.19,kg,"6,19€/kg",dw9b3472f7/images/col/706/7069746-frente.jpg,Talho,true
4285344,Bifanas de Porco Continente,4.99,kg,"4,99€/kg",dw7ff87476/images/col/428/4285344-frente.jpg,Talho,true
7069741,Perninhas de Frango Continente,4.79,kg,"4,79€/kg",dw62cdeab0/images/col/706/7069741-cima.jpg,Talho,true
7418594,Novilho para Estufar Continente,12.99,kg,"12,99€/kg",dwff3807a3/images/col/741/7418594-cima.jpg,Talho,true
7411346,Bife do Lombo de Novilho Continente,29.99,kg,"29,99€/kg",dw8212a345/images/col/741/7411346-topshot.jpg,Talho,true
6152478,Almôndegas de Bovino Continente,5.59,pack,"5,59€",dwf1cdcef1/images/col/615/6152478-frente.jpg,Talho,true
2818798,Peito de Frango do Campo Continente Seleção,8.29,kg,"8,29€/kg",dw429ddc61/images/col/281/2818798-frente.jpg,Talho,true
7302889,Entrecôte de Novilho Continente,19.99,kg,"19,99€/kg",dw670b1a48/images/col/730/7302889-topshot.jpg,Talho,true
7298016,Rolo de Carne de Novilho com Queijo e Fiambre Continente Seleção,13.99,kg,"13,99€/kg",dw0011ed9d/images/col/729/7298016-topshot.jpg,Talho,true
7744076,Almôndegas de Bovino Pack Poupança Continente Fácil & Bom,10.59,pack,"10,59€",dw0ae763a3/images/col/774/7744076-frente.jpg,Talho,true
2751718,Tiras de Entrecosto de Porco Continente,6.99,kg,"6,99€/kg",dw899ffd45/images/col/275/2751718-frente.jpg,Talho,true
6152474,Hambúrguer de Bovino Continente,6.69,pack,"6,69€",dw66cb9153/images/col/615/6152474-topshot.jpg,Talho,true
